Word,Intent
hello,greeting
hi,greeting
hey,greeting
greetings,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
howdy,greeting
what's up,greeting
how are you,greeting
how's it going,greeting
nice to meet you,greeting
pleased to meet you,greeting
good to see you,greeting
what's going on,greeting
how's everything,greeting
what's new,greeting
long time no see,greeting
welcome,greeting
good day,greeting
yo,greeting
sup,greeting
hey there,greeting
hiya,greeting
howdy-do,greeting
how's things,greeting
morning,greeting
afternoon,greeting
evening,greeting
aloha,greeting
howzit,greeting
cheers,greeting
top of the morning,greeting
salute,greeting
hey buddy,greeting
hey pal,greeting
hola,greeting
bonjour,greeting
ciao,greeting
namaste,greeting
